Itemized Comparison,,,,,,
Project: Global 1,,,,,,
Generated: 11/22/2025,,,,,,
,,,,,,
Item Description,Qty,Unit,Global Fire,,Optimal Fire,
,,,Unit Rate,Total,Unit Rate,Total
Cable Bundle Up to 40mm 13mm GIB Wall,169,EA,$39.15,"$6,616.35",N/A,N/A
Cable Bundle Up to 40mm 2x 13mm GIB Wall,1941,EA,$39.15,"$75,990.15",N/A,N/A
Conduit 20mm 2x 13mm GIB Wall,232,EA,$39.15,"$9,082.80",N/A,N/A
Single Cable Up to 15mm 2x 13mm GIB Wall,17,EA,$26.31,$447.27,N/A,N/A
Cable Tray 450mm 13mm GIB Wall,12,EA,$281.41,"$6,931.20",N/A,N/A
Cable Tray 300mm 13mm GIB Wall,12,EA,$208.14,"$2,497.68",N/A,N/A
Pex Pipe 16mm 2x 13mm GIB Wall,222,EA,$39.15,"$8,691.30",N/A,N/A
Stainless Steel Pipe 32mm 2x 13mm GIB Wall,7,EA,$53.01,$555.24,N/A,N/A
Stainless Steel Pipe 50mm 13mm GIB Wall,18,EA,$67.53,"$2,763.18",N/A,N/A
Stainless Steel Pipe 25mm 2x 13mm GIB Wall,232,EA,$79.32,"$18,402.24",N/A,N/A
PVC Pipe 40mm Concrete Floor,450,EA,$76.78,"$34,551.00",N/A,N/A
PVC Pipe 50mm Concrete Floor,291,EA,$79.35,"$23,090.85",N/A,N/A
PVC Pipe 65mm Concrete Floor,480,EA,$82.18,"$39,446.40",N/A,N/A
PVC Pipe 100mm Concrete Floor,933,EA,$129.38,"$120,711.54",N/A,N/A
PVC Pipe 50mm 2x 13mm GIB Wall,1,EA,$63.48,$63.48,N/A,N/A
PVC Pipe 40mm 2x 13mm GIB Wall,1,EA,$55.22,$55.22,N/A,N/A
PVC Pipe 100mm 13mm GIB Wall,2,EA,$95.03,$190.06,N/A,N/A
Multi Service 65mm 2x 13mm GIB Wall,46,EA,$95.03,"$4,371.38",N/A,N/A
Single Cables & Metal Pipes Up to 40mm,1,ea,$26.31,$26.31,N/A,N/A
Single Cables & Metal Pipes Up to 110mm,1,ea,$51.26,$51.26,N/A,N/A
Single Cables & Metal Pipes Up to 160mm,1,ea,$76.07,$76.07,N/A,N/A
Single Cables & Metal Pipes Up to 200mm,1,ea,$94.72,$94.72,N/A,N/A
Collars 65mm Tier 2,1,ea,$82.18,$82.18,N/A,N/A
Pipe Wraps 50mm Tier 1,1,ea,$56.26,$56.26,N/A,N/A
Cable Tray Up to 100mm x 1600mm,1,ea,$579.64,$579.64,N/A,N/A
Stainless Steel Pipe 25mm 2x 13mm GIB Wall,136,EA,$79.35,"$10,787.52",N/A,N/A
Ryanfire Ryanspan with Fixing brackets,5.4,M,$128.41,"$195,401.50",N/A,N/A
Up to 110mm (OD) Insulation,1,ea.,$67.53,$67.53,N/A,N/A
